km_driven,new_price,year,engine_power,resale_price
15135,10.57,2018,88.7,9.29
70536,5.87,2016,58.33,4.58
16500,6.29,2017,84,5
35225,6.56,2017,67.04,5.25
13000,11.81,2018,88.7,10.5
52000,7.27,2016,74,5.95
33150,8.71,2018,83.1,7.39
49818,5.44,2015,81.8,4.11
14076,20.74,2019,171.5,19.4
56251,37.17,2019,174.5,35.82
7000,4.36,2016,67.1,3
56661,4.98,2012,73,3.61
2900,10.13,2018,88.5,8.75
3300,12.88,2018,88.5,11.5
57078,11.58,2018,88.5,10.19
72599,5.72,2015,67.04,4.32
31184,6.4,2017,81.86,5
5000,4.9,2018,53.3,3.5
35569,8.68,2018,73.75,7.27
26000,3.96,2016,53.3,2.55
30000,5.68,2016,67,4.25
30000,4.74,2012,67.04,3.3
22389,8.68,2017,73.75,7.23
3000,10.3,2018,83.1,8.85
11241,24.01,2019,147.8,22.55
5400,5.45,2016,84,3.98
6000,8.18,2018,86.76,6.7
48624,4.7,2011,67.1,3.22
1000,7.87,2017,81.8,6.36
46808,4.7,2011,67.1,3.19
17477,11.13,2018,108.5,9.62
9900,14.72,2018,121.3,13.2
63262,4.78,2017,67,3.25
8471,6.54,2017,81.86,5
28147,6.62,2016,81.86,5.07
50234,6.32,2018,81.86,4.77
12573,7.36,2016,83.1,5.8
28741,12.56,2018,88.5,11
12000,4.82,2017,67.1,3.25
2000,10.28,2018,74,8.7
38712,7.45,2017,81.86,5.87
52431,4.59,2014,67.04,3.01
3958,7.14,2018,81.86,5.55
35362,5.44,2017,67.04,3.85
4500,6.4,2018,81.86,4.8
22000,6.42,2017,84,4.8
15900,7.88,2018,82,6.25
3000,12.88,2018,88.5,11.25
12248,6.54,2017,81.86,4.9
1700,9.44,2018,88.76,7.8
29202,5.54,2014,67.04,3.9
47001,5.36,2015,63,3.72
65743,7.85,2015,81.86,6.2
1000,10.25,2019,81.86,8.6
16235,7.15,2017,69,5.5
13198,4.82,2016,67.1,3.15
34613,7.92,2017,74,6.24
26239,4.43,2016,53,2.75
43639,9.83,2018,100,8.15
15466,5.04,2011,67.04,3.36
18385,14.1,2018,121.36,12.41
1997,6.14,2018,67,4.45
16956,5.29,2016,67.04,3.6
14576,8.38,2017,73.75,6.69
20487,4.37,2016,53.64,2.66
41994,5.12,2014,67.04,3.41
40000,6.71,2018,81.86,5
41372,11.02,2016,88.5,9.3
12336,13.6,2019,121.3,11.88
15000,3.98,2016,53.64,2.25
22321,13.4,2019,117.3,11.66
33598,23.94,2019,147.8,22.2
37460,8.03,2017,81.86,6.28
21558,10.65,2016,88.5,8.9
48808,6.05,2015,67.04,4.3
35981,11.29,2017,88.5,9.51
3000,7.98,2018,81.86,6.2
26000,4.78,2016,67,3
25422,5.04,2014,67.04,3.25
16000,4.78,2016,53.3,2.99
65000,6.59,2017,88.7,4.8
46000,6.54,2017,81.86,4.75
34669,4.71,2014,73,2.9
34670,4.71,2014,73,2.9
33000,11.06,2017,88.5,9.25
11732,11.88,2018,117.3,10.07
31426,9.72,2018,108.62,7.9
51223,7.48,2017,81.86,5.66
42000,7.33,2016,75,5.5
22500,7.82,2017,81.86,5.99
13000,10.34,2017,81.8,8.5
12000,10.34,2018,98.6,8.5
20000,7.82,2017,81.86,5.98
64005,6.41,2015,78.9,4.57
45631,4.59,2012,67.04,2.74
17000,5.8,2017,67,3.95
16000,8.8,2016,83.1,6.95
39437,7.01,2015,74,5.15
17000,11.06,2018,121.36,9.2
51672,7.55,2016,88.76,5.68
90413,4.83,2015,73,2.95
14000,7.13,2015,74,5.25
32663,8.18,2018,73.97,6.28
23555,7,2016,81.8,5.1
17000,7.56,2018,99,5.65
54758,8.58,2017,73.75,6.67
48000,7.91,2017,73.75,6
36973,8.71,2017,88.7,6.8
52000,19.43,2017,147.8,17.5
10575,11.11,2018,103.25,9.18
15000,10.83,2017,88.7,8.9
88500,4.53,2014,67.1,2.6
2000,6.94,2018,83.83,5
32189,11.2,2018,98.96,9.25
64357,4.7,2011,67.1,2.75
33496,7.45,2014,81.86,5.5
29091,6.82,2016,81.86,4.87
8018,10.26,2019,81.8,8.3
45000,9.12,2016,88.5,7.15
98500,7.97,2017,74,6
30000,5.77,2016,67.04,3.8
38426,11.12,2017,88.5,9.13
8000,6.14,2016,67,4.15
12645,13.49,2019,121.3,11.5
49000,4.29,2014,67.1,2.3
21002,4.74,2010,67.04,2.75
27000,7.91,2018,73.75,5.9
42700,5.61,2016,84,3.6
62788,8.1,2017,81.86,6.08
12208,8.78,2016,83.1,6.75
28599,11.71,2017,105,9.66
52000,5.51,2014,67.04,3.45
20000,8.05,2017,86.8,5.99
32248,10.32,2017,88.7,8.25
19000,10.97,2017,73.75,8.9
64687,5.87,2015,58.33,3.8
43041,8.1,2016,81.86,6.01
74663,5.35,2014,67.04,3.25
36681,8.82,2016,67.06,6.71
1261,8.12,2007,94.68,6
47000,6.62,2017,88.7,4.5
47691,6.08,2016,67.04,3.94
19000,11.39,2016,105,9.25
35299,10.14,2016,88.5,8
64035,10.7,2018,73.75,8.55
38958,5.56,2014,67.04,3.41
70000,6.67,2017,88.7,4.5
7000,7.87,2017,81.8,5.7
40000,7.43,2017,74,5.25
38394,11.37,2018,103.25,9.18
33558,10.32,2018,88,8.12
37429,8.1,2016,81.86,5.89
64876,5.71,2015,81.8,3.5
100200,19.21,2016,171.5,17
25299,12.56,2017,88.5,10.34
126000,4.43,2016,73,2.2
24000,10.63,2017,74,8.4
59450,9.78,2017,81.86,7.53
20773,8.17,2017,73.97,5.92
4900,11.47,2018,108.5,9.22
42203,21.72,2018,170,19.46
41747,11.26,2017,73.75,9
22000,6.23,2015,86.8,3.95
24000,10.48,2017,73.75,8.2
26731,10.89,2018,100,8.61
8000,15.14,2018,121.3,12.85
5833,14.22,2018,108.4,11.92
21248,11.75,2017,88.5,9.44
14000,12.22,2018,108.5,9.9
52380,12.47,2018,88.5,10.15
48000,8.28,2018,73.97,5.95
12923,11.26,2018,88.5,8.92
51236,10.83,2018,88.5,8.49
34005,8.09,2016,73.75,5.75
54000,7.85,2014,81.86,5.5
28300,4.5,2011,67.1,2.15
28226,11.52,2017,73.75,9.15
45362,11.75,2017,88.5,9.38
35214,5.57,2014,67.04,3.2
20789,20.74,2017,171.5,18.36
17000,4.48,2014,67.1,2.1
14000,11.66,2018,88.5,9.25
45000,4.69,2011,73,2.25
43628,5.61,2014,67.04,3.16
42000,7.96,2018,82,5.5
55000,9.96,2016,88.5,7.5
48324,11.47,2017,88.5,9
24393,22.87,2017,147.8,20.4
34900,7.97,2013,81.8,5.49
50075,11.12,2018,88.5,8.63
37000,8.79,2015,88.7,6.3
5000,11.19,2018,121.3,8.7
30279,9.79,2017,99,7.29
32851,6.45,2017,67,3.95
55000,6,2015,67.04,3.5
37208,9.93,2016,88.5,7.43
39000,12,2017,88.5,9.49
53000,6.41,2014,78.9,3.9
53500,7.88,2015,74,5.36
21800,11.27,2017,121.36,8.75
20780,6.82,2015,81.86,4.3
54000,5.58,2013,67.04,3.05
41000,6.78,2016,67.04,4.25
18000,20.8,2017,171.5,18.25
14000,7.46,2017,73.97,4.9
3000,10.81,2018,88.7,8.25
79494,5.54,2013,67.04,2.96
100000,6.83,2017,88.7,4.25
42646,15.05,2017,108.45,12.46
31271,24.01,2019,147.8,21.42
12000,5.04,2010,67.04,2.45
7500,13.76,2017,117.3,11.15
42000,8.13,2017,81.8,5.5
32000,5.29,2013,67.04,2.65
17151,11.05,2017,98.6,8.4
28000,10.65,2017,103,8
63939,10.41,2017,88.5,7.75
25302,8.56,2018,73.97,5.9
62192,7.88,2016,74,5.22
4500,15.17,2018,117.3,12.5
41460,6.63,2014,86.8,3.95
29000,12.68,2017,117.3,10
37822,5.04,2010,67.04,2.35
40866,8.16,2016,86.76,5.47
63423,10.42,2017,98.96,7.69
47200,5.58,2014,67.04,2.85
3000,10.63,2018,67.04,7.9
42000,6.51,2011,78.9,3.75
37000,5.56,2014,81.8,2.8
21214,12.44,2019,103.52,9.66
55000,5.88,2015,81.8,3.1
26000,6.43,2015,81.8,3.65
84000,8.44,2013,74,5.65
86000,10.99,2016,88.5,8.2
31378,8.71,2016,88.7,5.9
45376,8.58,2016,73.75,5.75
22000,19.34,2017,147.8,16.5
40250,9.74,2017,81.86,6.9
21000,13.74,2016,121.3,10.9
43000,7.35,2017,82,4.5
67489,19.37,2017,147.8,16.5
73000,19.37,2016,147.8,16.5
26000,11.89,2017,98.96,8.99
30000,11.89,2017,98.96,8.99
5500,11.11,2017,103.25,8.2
80000,10.91,2017,88.5,8
60048,8.91,2017,99,6
24864,19.18,2019,126.2,16.27
33000,10.17,2015,88.7,7.25
8899,22.86,2018,147.8,19.92
39882,9.51,2016,75.94,6.55
35000,9.46,2017,88.5,6.5
20300,20.97,2018,171.5,18
48198,7.63,2017,88.7,4.65
20000,11.98,2016,88.5,9
24000,6.99,2018,67.04,4
27853,11.26,2017,103.5,8.25
37000,19.91,2017,170,16.9
69000,7.52,2014,88.76,4.5
39000,11.47,2017,98.96,8.45
29000,9.53,2016,74,6.5
63310,8.13,2015,74,5.1
6261,26.95,2019,170,23.91
85000,11.96,2016,88.5,8.9
25000,9.97,2017,88,6.9
45000,8.34,2018,74,5.25
7445,8.09,2015,88.7,5
29000,9.09,2015,98.6,5.99
28193,8.36,2015,73.75,5.25
39208,7.63,2015,88.7,4.52
47300,11.96,2016,88.5,8.85
27365,7.88,2014,74,4.75
68557,11.28,2017,62.1,8.14
17978,10.1,2017,88.7,6.95
20300,17.38,2018,117.3,14.21
74000,7.67,2013,81.8,4.5
40315,5.92,2012,86.8,2.75
34686,15.05,2017,108.45,11.86
37323,10.52,2018,100,7.29
40674,28.05,2019,171.5,24.82
26000,8.23,2016,73.97,5
14000,13.23,2017,121.36,9.99
81828,8.68,2015,73.97,5.43
20000,10.04,2016,108.62,6.75
22000,9.58,2016,88,6.29
20000,9.04,2016,83.1,5.74
19416,11.56,2017,103.25,8.25
38310,10.06,2018,88.7,6.69
58095,9.19,2016,108.62,5.8
50534,11.66,2017,103.5,8.27
9000,16.4,2018,155,13
33218,22.46,2018,170,19.05
14980,10.81,2016,98.6,7.4
27000,8.69,2015,88.7,5.27
42000,13.33,2016,88.5,9.9
26323,10.83,2015,103.5,7.4
33746,6.63,2013,86.8,3.2
27000,18.45,2017,170,15
21460,9.47,2016,121.36,6
10250,14.44,2018,126.2,10.95
91931,6.62,2012,86.8,3.13
125000,8.09,2016,74,4.6
36000,21,2016,171.5,17.5
22000,11.75,2016,88.5,8.25
65000,11.16,2017,88.5,7.65
25000,11.26,2017,103.5,7.75
45000,15.05,2016,108.45,11.5
35358,26.56,2017,171.5,22.99
82756,11.28,2016,62.1,7.7
22974,15.55,2018,117.3,11.97
150000,9.58,2015,67.05,6
17665,15.36,2018,121.3,11.78
51000,10.04,2017,108.62,6.45
28069,34.45,2019,174.5,30.85
30090,15.05,2017,108.45,11.44
43706,7.63,2016,88.7,4
54161,11.27,2016,88.5,7.64
68434,9.14,2013,73.75,5.5
27852,14.1,2018,121.36,10.44
54387,9.51,2017,75.94,5.85
17000,15.29,2017,117.3,11.6
40000,7.69,2015,88.7,4
19654,21.33,2019,155,17.63
61325,8.1,2014,81.86,4.4
100303,7.43,2016,74,3.7
115000,8.26,2014,74,4.5
10000,7.77,2016,88.7,4
77084,8.75,2013,73.75,4.95
23500,7.7,2014,88.7,3.9
26101,21.38,2018,170,17.55
20488,11.48,2018,103.5,7.64
140000,4.55,2001,68,0.7
29647,10.15,2016,88,6.3
38000,5.61,2010,67.04,1.75
50297,8.55,2012,97.6,4.69
53817,11.44,2014,88.5,7.56
53322,16.06,2018,121.3,12.13
72000,8.93,2017,74,5
59261,8.18,2015,73.97,4.25
36000,7.63,2014,88.7,3.7
33000,11.63,2016,103.5,7.7
65000,11.15,2016,62.1,7.21
29000,22.95,2018,170,19
84000,7.83,2013,67.04,3.85
15000,16.67,2017,117.3,12.69
62178,8.85,2015,88.7,4.85
9000,12.51,2017,117.3,8.5
28000,11.26,2016,103.5,7.25
29000,10.52,2017,100,6.5
51000,8.23,2017,73.97,4.2
46000,16.95,2017,98.6,12.9
11000,12.57,2017,117.3,8.5
46000,8.61,2011,88.7,4.5
215000,11.67,2016,118.3,7.5
68000,6.99,2010,81.8,2.8
45000,7.94,2017,74,3.75
37712,11.77,2017,100,7.57
28000,14.2,2017,108.5,10
27768,10.06,2017,88.7,5.85
32576,7.36,2013,88.76,3.15
50000,15.72,2017,126.2,11.5
33000,12.74,2016,88.5,8.5
57464,9.99,2014,67.06,5.75
21000,8.99,2014,86.76,4.75
21719,37.38,2019,174.5,33.13
52000,24.26,2017,170,20
130000,11.27,2016,88.5,7
56454,8.95,2013,73.75,4.65
28937,21.38,2018,170,17.02
15000,11.48,2017,103.5,7.1
31000,21.36,2017,147.8,16.95
44383,17.7,2018,121.3,13.25
15000,34.45,2017,174.5,30
46676,12.27,2014,121.3,7.75
69000,14.23,2016,121.3,9.7
47183,15.86,2017,121.3,11.31
45252,6.8,2010,81.86,2.25
78526,12.67,2017,98.96,8.09
121900,8.34,2017,74,3.75
46687,7.3,2011,81.8,2.7
64241,8.27,2014,81.86,3.67
40000,8.56,2014,88.7,3.95
66000,9.56,2015,88,4.91
62322,9.55,2014,67.06,4.9
40000,21.1,2016,171.5,16.45
32249,15.45,2017,98.6,10.79
52951,10.32,2014,88,5.65
74000,8.94,2012,73.75,4.25
54000,11.27,2016,83.8,6.5
31300,15.34,2017,108.4,10.5
42000,16.84,2017,98.6,12
34895,9.47,2015,75.94,4.6
31000,15.38,2017,108.4,10.5
34004,12.9,2016,117.3,8.02
14233,22.74,2019,153.86,17.85
38000,11.15,2016,98.6,6.21
24347,16.06,2016,121.3,11
110000,9.14,2011,73.75,4
48000,25.4,2016,147.8,20.25
105000,11.15,2012,62.1,6
72035,7.65,2015,99,2.5
35676,14.65,2017,117.3,9.48
68163,14.11,2016,108.45,8.9
46500,8.54,2013,98.6,3.3
21000,23.25,2017,138.03,18
48188,26.95,2018,170,21.69
45000,8.54,2013,98.6,3.25
74611,13.26,2016,88.5,7.94
82000,13.33,2015,98.6,8
50000,8.84,2016,73.97,3.5
55431,12.33,2014,103.5,6.98
47392,19.18,2016,126.2,13.82
45492,15.68,2016,108.5,10.3
18955,16.04,2015,117.3,10.65
16039,23.89,2018,170,18.5
38000,23.06,2017,147.8,17.65
9500,21.77,2017,149.92,16.35
107000,9.12,2013,65,3.7
5000,22.37,2018,138.03,16.95
85000,11.67,2016,93.7,6.15
17000,15.02,2017,117.3,9.5
16503,15.02,2017,117.3,9.5
29200,13.23,2016,98.96,7.7
97000,12.79,2012,115,7.25
45000,25.54,2017,170,20
45296,12.53,2016,88.5,6.99
9200,13.58,2016,117.3,8
105000,12.34,2013,88.5,6.75
32000,13.7,2017,103.52,8.11
52378,13.6,2016,121.3,7.97
63000,11.15,2013,62.1,5.5
150000,7.91,2012,73.75,2.25
19000,15.68,2016,108.5,10
15050,23.19,2017,170,17.5
37000,16.95,2017,154,11.25
14000,17,2018,126.2,11.25
34000,14.2,2016,108.5,8.45
28321,23.25,2018,138.03,17.49
18000,15.02,2017,117.3,9.25
93166,11.67,2016,118.3,5.85
55000,18.35,2016,126.2,12.5
37199,11.33,2013,99.6,5.43
32542,11.67,2012,121.3,5.77
12000,33.91,2018,175.56,28
4000,23.68,2017,160,17.75
25121,23.06,2016,147.8,17.11
75000,10.32,2012,62.1,4.3
44000,8.73,2011,75.94,2.65
72202,24.01,2017,147.8,17.92
29477,16.36,2016,121.3,10.25
55818,11.85,2014,117.3,5.7
90000,9.26,2015,65,3.1
33550,15.86,2017,108.5,9.6
19000,15.29,2015,117.3,8.95
68038,9.96,2012,88,3.6
67000,22.87,2017,147.8,16.5
25000,15.86,2016,108.5,9.45
38622,12.68,2013,117.3,6.26
7000,24.02,2017,170,17.45
26023,26.55,2017,171.5,19.97
39800,20.87,2017,153.86,14.25
42388,24.63,2016,171.5,18
30000,15.29,2015,117.3,8.65
54000,23.14,2016,147.8,16.5
65000,10.15,2013,88,3.5
169000,11.69,2015,93.7,5
39000,12.23,2015,98.6,5.49
56658,12.14,2014,108.5,5.39
70000,15.01,2014,108.45,8.25
69000,26.56,2016,171.5,19.75
82000,11.67,2015,118.3,4.85
69434,14.84,2016,121.3,8
43000,25.52,2017,147.8,18.65
68000,11.75,2013,88.5,4.85
25500,15.86,2016,108.5,8.95
43200,25.52,2017,147.8,18.6
34000,12.68,2012,117.3,5.75
42000,26.55,2016,171.5,19.6
35000,14.67,2017,117.3,7.7
93450,9.48,2012,63.12,2.5
86000,9.5,2013,75,2.5
41736,27,2018,171.5,19.92
29000,38.11,2017,174.5,31
39822,12.02,2015,103.52,4.68
40000,37.38,2017,174.5,30
80000,26.95,2016,171.5,19.5
38000,10.94,2014,103.5,3.49
60818,11.05,2012,103.5,3.59
70000,11.48,2012,84.8,4
39000,21,2016,153.86,13.5
40448,11.01,2016,62.1,3.5
108000,28.05,2016,171.5,20.5
53841,28.05,2017,171.5,20.5
26000,33.58,2017,177.46,26
70704,18.64,2012,163.7,10.95
64798,26.45,2017,147.8,18.75
101065,19.18,2017,126.2,11.45
30000,27,2017,171.5,19.25
34000,11.16,2012,108.5,3.4
67031,11.85,2011,117.3,4
55000,19.86,2017,153.86,12
28000,21.77,2016,149.92,13.9
32572,11.74,2011,117.3,3.87
65367,28.05,2017,171.5,20.14
14648,35.29,2019,158,27.36
40600,15.14,2015,121.3,7.2
13000,25.75,2016,152.88,17.75
47000,11.3,2011,108.5,3.25
92056,26.45,2018,147.8,18.39
50296,27.07,2016,171.5,19
20469,44.28,2017,189.08,35.98
72668,37.17,2017,174.5,28.85
57478,13.59,2013,121.3,5.25
93000,19.18,2016,126.2,10.8
2000,42.48,2017,113.98,34
26327,44.28,2017,189.08,35.67
38000,11.91,2011,103.5,3.25
58817,15.06,2015,83.14,6.25
121097,10.73,2008,88.76,1.9
13747,36.15,2019,177.46,27.3
65280,14.72,2013,83.14,5.8
16471,20.48,2016,138.03,11.5
80000,15.94,2012,108.45,6.75
15000,44.28,2016,189.08,35
1400,70.55,2018,190,61.25
66618,24.82,2016,171.5,15.49
51000,15.06,2014,83.14,5.65
75059,13.7,2012,121.3,4.25
89614,15.57,2014,126.2,6.01
8350,44.59,2017,192,35
54500,13.72,2012,108.4,4.1
56066,16.65,2015,108.5,6.92
87000,15.72,2013,126.2,5.9
79225,15.57,2013,126.2,5.5
27641,34.89,2015,113.98,24.77
21110,39.27,2016,189.08,28.95
14857,41.98,2019,113.98,31.55
13190,49.49,2019,181.43,38.99
32298,35,2016,113.98,23.8
10003,59.77,2018,170,48.5
79000,16.6,2012,126.2,5.25
121311,14.32,2011,108.5,2.9
143275,14.07,2008,126.2,2.6
20000,35,2016,113.98,23.5
15456,48.18,2019,190,36.64
50510,36.45,2017,141,24.9
96578,14.07,2008,126.2,2.5
60000,17.21,2013,108.5,5.45
88008,34.45,2016,174.5,22.5
22060,44.8,2018,147.51,32.73
63854,19.27,2013,86.79,7.12
13414,43.07,2019,136,30.77
17773,39.22,2018,183,26.76
53920,23.37,2015,138.03,10.77
14500,33.36,2016,177.46,20.75
14000,55.61,2017,187.74,43
11000,42.12,2016,113.98,29.5
109606,15.59,2008,126.2,2.9
8682,52.26,2018,194,39.5
52000,19.27,2012,86.79,6.5
52100,19.27,2012,86.79,6.5
1000,52.77,2018,177,40
24000,59.77,2017,170,46.95
10000,41.94,2018,136,28.9
24013,69.22,2019,148.31,56.14
82725,25.27,2016,138.03,11.99
170000,20.87,2013,126.2,7.5
54253,30.19,2016,177.46,16.81
15369,49.14,2019,194,35.67
49000,22.43,2014,126.2,8.9
65012,32.45,2015,174.5,18.9
29311,64.57,2019,170,50.97
34429,33.68,2017,174.57,20
9312,92.5,2019,258,78.8
38000,37.9,2015,150,24
42000,36.94,2017,174.5,22.99
58239,23.64,2015,149.92,9.69
11000,70.55,2018,194,56.5
4000,49.14,2019,194,35
26212,38.72,2016,136,24.46
23249,40.62,2017,175.67,26.11
46374,23.64,2014,149.92,8.85
93000,19.39,2010,138.03,4.5
35000,40.73,2017,174.5,25.75
39000,42.4,2017,136,27
31427,75.12,2018,177,59.72
4000,53.41,2017,177,38
22000,56.97,2018,187.74,41.5
83184,21.69,2012,138.03,6.22
53000,33.36,2016,177.46,17.85
11900,44.28,2014,189.08,28.5
73641,33.36,2017,177.46,17.08
109703,20.46,2010,138.03,4
40000,41.02,2016,183,24.5
150386,39.6,2015,174.5,23
110000,32.01,2014,175.56,15
29836,43.07,2019,136,25.75
17000,34.63,2016,122,17.25
20969,45.36,2017,136,27.87
32000,22.66,2009,138.03,4.95
31000,44.75,2017,147.51,27
21000,39.57,2013,189.08,21.5
53497,34.6,2015,175.56,16.42
6773,91.38,2019,245,72.94
35000,41.94,2017,136,23.5
31645,48.18,2017,190,29.4
60000,42.48,2014,113.98,23.5
25000,64.14,2017,170,45
9000,53.72,2017,246.74,34.5
34232,55.07,2017,190,35.84
28143,48.18,2016,190,28.5
27000,55.07,2016,190,35
34000,42.12,2014,113.98,22
59000,33.09,2013,175.56,12.75
58661,48.64,2016,181,28.03
21000,72.64,2017,177,52
51000,45.67,2015,190,25
32838,50.97,2017,190,30.29
21936,58.67,2018,190,37.92
51000,48.64,2015,181,27.5
27001,50.26,2017,190,29
70000,33.21,2014,175.56,11.85
19000,36.94,2015,174.5,15.5
31000,50.97,2016,190,29.5
25601,78.76,2017,201.15,56.73
132000,34.6,2013,175.56,12.49
17000,44.28,2012,189.08,22
29000,79.43,2017,201.15,57
21000,78.76,2016,201.15,56
86642,43.65,2016,181,20.37
105072,36.69,2013,174.5,13.28
110000,37.51,2010,174.5,13.7
39000,42.89,2016,143,18.9
51000,45.67,2014,190,21.5
47000,53.68,2015,190,29.5
40129,95.13,2018,254.79,70.8
22397,95.38,2018,367,70.99
40000,66.39,2017,148.31,41.5
80000,32.54,2013,177.46,7.25
61221,47.16,2017,147.51,21.73
19235,62.07,2016,190,36.5
42265,48.18,2015,190,22.24
169006,36.69,2011,174.5,10.64
19863,91.23,2017,254.79,64.95
100000,28.37,2005,227,2.05
140000,37.46,2010,174.5,10.75
21000,62.07,2017,190,35
21290,83.92,2018,395,56.8
19000,57.3,2016,190,29.99
29000,92.79,2016,254.79,65
13506,50.4,2015,187.74,21.66
28469,53.14,2014,187.74,24.37
32982,47.87,2014,190,18.55
36824,69.37,2017,187.74,39.84
62004,33.36,2010,177.46,3.75
25000,47.87,2013,190,17.99
33552,95.13,2017,254.79,64.87
27000,78.31,2016,265,48
50000,79.43,2016,201.15,49
135000,33.51,2004,152,3
32586,67.87,2018,190,37.3
45000,55.61,2015,187.74,25
31000,60.88,2016,190,29.95
59500,99.92,2017,245,68
20000,67.67,2015,187.74,35.5
36723,64.76,2017,190,32.57
100000,43.31,2011,190,10.9
52000,74.49,2016,177,42
30717,58.67,2015,190,25.99
80000,47.2,2010,190,14.2
62404,54.43,2016,190,21.33
89000,47.2,2011,190,13.95
103905,43.31,2009,190,9.92
18600,54.43,2014,190,21
70000,43.81,2011,190,10.3
56087,54.43,2015,190,20.75
29819,95.13,2017,254.79,61.29
28541,95.13,2016,254.79,60.75
48000,60.88,2014,190,26.5
70000,62.11,2016,190,27
41000,60.88,2015,190,25.5
56000,59.38,2014,187.74,24
29277,95.13,2018,254.79,59.65
26405,86.97,2018,191.34,51.43
20446,86.97,2018,191.34,51.35
85846,48.79,2013,190,13.08
30706,95.13,2018,254.79,59.29
51000,69.47,2014,190,33.5
47000,60.59,2016,187.74,24.5
73000,48.79,2012,190,12.5
55598,47.87,2012,190,11.5
58629,53.14,2013,187.74,16.52
58000,48.79,2010,190,11.5
51000,47.87,2011,190,10.5
37613,52.46,2013,190,13.95
67000,47.87,2010,190,9.25
7501,87.57,2015,333,48
65000,54.7,2012,190,14
13372,95.04,2017,362.07,54
60280,63.71,2014,190,22.45
75637,71.82,2016,190,30.37
55000,63.71,2013,190,21.75
62000,67.1,2014,187.74,25
90000,63.71,2013,190,19.5
87000,52.46,2019,190,6.67
95000,63.71,2012,190,17.5
51602,63.71,2011,190,17.27
65000,67.87,2013,190,21.26
44450,71.82,2012,190,24.68
46000,63.71,2010,190,16.5
85000,71.15,2013,194,21
58000,69.59,2009,190,17.98
61240,70.43,2012,190,17.5
58000,79.78,2010,265,11.75
